ISBN,Title,Author,Book Type,Original Price,Discount Price,ISBN-10,Published Date,Publisher,Number Of Pages
9780007461240,The Screwtape Letters: Letters From A Senior To A Junior Devil ,C. S. Lewis,Paperback,19.99,18.25,0007461240,2012-07-01,HarperCollins Publishers,224
9780307762528,Book not found,,,,,,,,
9780743422277,Star Trek The Original Series: Rihannsu #3: Swordhunt,Diane Duane,ePUB,5.99,5.99,0743422279,2001-12-03,Pocket Books/Star Trek,256
9780241290002,Familiar Stranger A Life between Two Islands,Stuart Hall,ePUB,15.99,15.99,0241290007,2017-04-06,Penguin Books Ltd,256
9780061763403,Book not found,,,,,,,,
9780463983096,Across the Seas,Griff Hosker,ePUB,9.19,9.19,0463983092,2019-03-04,Griff Hosker,
9780241365984,American Royals,Katharine McGee,ePUB,9.99,9.99,0241365988,2019-09-01,Penguin Random House Children's UK,368
9781322117171,Book not found,,,,,,,,
9780141911717,Homage to Catalonia,George Orwell,ePUB,15.99,15.99,0141911719,2003-06-05,Penguin Books Ltd,272
9780141930169,The Twits,"Roald Dahl, Quentin Blake (Illustrator)",ePUB,9.99,9.99,0141930160,2007-09-06,Penguin Random House Children's UK,112
9781250316783,Book not found,,,,,,,,
9780748115358,The Great Hunt Wheel of Time: Book 2,Robert Jordan,ePUB,11.99,11.99,0748115358,2009-11-17,"Little, Brown Book Group",736
9780141342436,Magnus Chase and the Sword of Summer (Book 1),Rick Riordan,ePUB,9.99,9.99,0141342439,2015-10-06,Penguin Random House Children's UK,528
9780141903125,Boy Tales of Childhood,"Roald Dahl, Quentin Blake (Illustrator)",ePUB,9.99,9.99,0141903120,2008-09-04,Penguin Random House Children's UK,192
9780141928685,Angels,Marian Keyes,ePUB,15.99,15.99,0141928689,2005-03-31,Penguin Books Ltd,496
9780755386390,The Lost (Paula Maguire 1) A gripping Irish crime thriller with explosive twists,Claire McGowan,ePUB,11.99,11.99,0755386396,2013-04-11,Headline,305
9780230739673,Book not found,,,,,,,,
9781310517228,Anxiety Panicking about Panic,Joshua Fletcher,ePUB,9.38,9.38,1310517223,2016-03-22,Joshua Fletcher,
9780698137653,George Washington's Secret Six The Spy Ring That Saved the American Revolution,"Brian Kilmeade, Don Yaeger",ePUB,22.29,17.99,0698137655,2013-11-05,Penguin Publishing Group,288
9780956308641,Book not found,,,,,,,,
9781405921107,Jamie's Food Tube The Pasta Book,Gennaro Contaldo,ePUB,14.99,14.99,1405921102,2015-07-02,Penguin Books Ltd,128
9780575087057,The Name of the Wind Kingkiller Chronicles: Book 1,Patrick Rothfuss,ePUB,12.99,12.99,0575087056,2010-04-22,Orion,672
9780440336358,Darkfever Fever Series Book 1,Karen Marie Moning,ePUB,14.66,11.99,044033635X,2006-10-31,Random House Publishing Group,
9780755332557,Kiss ,Jill Mansell,Paperback,26.99,26.4,0755332555,2007-05-10,Headline,512
9780470901038,"Business Model Generation A Handbook for Visionaries, Game Changers, and Challengers",Alexander Osterwalder,PDF,45.09,45.09,0470901039,2010-07-23,Wiley Professional Development (P&T),288
9780698185890,Book not found,,,,,,,,
9780857202994,"The Night Stalker A brilliant serial killer thriller, featuring the unstoppable Robert Hunter",Chris Carter,ePUB,12.99,12.99,0857202995,2011-08-18,Simon & Schuster UK,464
9780446539654,The Jury Master,Robert Dugoni,ePUB,17.99,17.99,0446539651,2008-07-15,Grand Central Publishing,300
9781310869686,Book not found,,,,,,,,
9780241242643,The Book of Why The New Science of Cause and Effect,"Judea Pearl, Dana Mackenzie",ePUB,16.99,16.99,0241242649,2018-05-15,Penguin Books Ltd,400
9780748109265,Blow Fly,Patricia Cornwell,ePUB,11.99,11.99,0748109269,2008-09-04,"Little, Brown Book Group",544
9780241980750,The Sapphire Widow The Enchanting Richard & Judy Book Club Pick 2018,Dinah Jefferies,ePUB,15.99,15.99,0241980755,2018-04-05,Penguin Books Ltd,400
9780330469364,Book not found,,,,,,,,
9780241379011,Couples That Work How To Thrive in Love and at Work,Jennifer Petriglieri,ePUB,18.99,18.99,0241379016,2019-10-10,Penguin Books Ltd,304
9780575088436,Time of Contempt The bestselling novel which inspired season 3 of Netflix's The Witcher,"Andrzej Sapkowski, David French (Translator)",ePUB,12.99,12.99,0575088435,2013-06-24,Orion,320
9781405927697,Typhoon Fury Oregon Files #12,"Clive Cussler, Boyd Morrison",ePUB,15.99,15.99,1405927690,2017-11-16,Penguin Books Ltd,480
9780755350841,The Eagle's Conquest (Eagles of the Empire 2) Cato & Macro: Book 2,Simon Scarrow,ePUB,12.99,12.99,0755350847,2008-09-04,Headline,448
9781101117996,The Divine Comedy,"Dante Alighieri, John Ciardi (Translator)",ePUB,25.7,20.99,1101117990,2003-05-27,Penguin Publishing Group,928
9781101209356,A Maiden's Grave,Jeffery Deaver,ePUB,14.66,11.99,1101209356,2000-01-01,Penguin Publishing Group,
9780755373970,No One Left To Tell (The Baltimore Series Book 2),Karen Rose,ePUB,11.99,11.99,0755373979,2012-01-05,Headline,451
9780755380558,The Snow Child The Richard and Judy Bestseller,Eowyn Ivey,ePUB,12.99,12.99,075538055X,2012-02-01,Headline,318
9780439023481,The Hunger Games (USA Edition) The Hunger Games Trilogy : Book 1,Suzanne Collins,Hardcover,40.95,40.95,0439023483,2008-10-01,Scholastic US,384
9781250232984,Made Things,Adrian Tchaikovsky,ePUB,6.22,5.99,1250232988,2019-11-05,Tor Publishing Group,
9780141926902,Percy Jackson and the Sea of Monsters (Book 2),Rick Riordan,ePUB,12.99,12.99,0141926902,2008-05-01,Penguin Random House Children's UK,288
9780571333141,"Conversations with Friends 'Brilliant, funny and startling.' GUARDIAN",Sally Rooney,ePUB,16.49,14.99,0571333141,2017-05-25,Faber & Faber,272
9781407035536,Strata,Terry Pratchett,ePUB,14.99,14.99,1407035533,2009-11-24,Transworld,288
9780141966151,Misbehaving The Making of Behavioural Economics,Richard H. Thaler,ePUB,16.99,16.99,0141966157,2015-05-07,Penguin Books Ltd,256
9780230225916,Book not found,,,,,,,,
9780804141116,Book not found,,,,,,,,
9780141929385,My East End Memories of Life in Cockney London,Gilda O'Neill,ePUB,15.99,15.99,0141929383,2000-09-28,Penguin Books Ltd,384
9781471144011,Book not found,,,,,,,,
9780141964089,The Promise,Lesley Pearse,ePUB,15.99,15.99,0141964081,2012-01-19,Penguin Books Ltd,528
9780141929576,Artemis Fowl and The Arctic Incident The Arctic Incident,Eoin Colfer,ePUB,9.99,9.99,014192957X,2002-06-06,Penguin Random House Children's UK,336
9780141957869,23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,ePUB,15.99,15.99,0141957867,2010-09-02,Penguin Books Ltd,304
9780141929743,Excalibur A Novel of Arthur,Bernard Cornwell,ePUB,15.99,15.99,014192974X,2007-11-01,Penguin Books Ltd,496
9780544836730,Myers+Chang at Home Recipes from the Beloved Boston Eatery,"Joanne Chang, Karen Akunowicz",ePUB,46.19,36.99,0544836731,2024-03-19,HarperCollins,320
9781328527905,Book not found,,,,,,,,
9780307965493,Mastering Color Knitting,Melissa Leapman,ePUB,15.42,12.99,030796549X,2011-07-13,Clarkson Potter/Ten Speed,
9780547928517,Book not found,,,,,,,,
9780646987286,How I Became The Fittest Woman On Earth My Story So Far,Tia-Clair Toomey,ePUB,17.59,16.99,0646987283,2018-01-22,BL SOUTHWICK PUBLISHING PTY LTD,202
9781101042182,Dubliners,"James Joyce, Edna O'Brien (Introduction by), Malachy McCourt",ePUB,8.55,7.99,1101042184,2007-02-06,Penguin Publishing Group,272
9780761174981,Stitch 'N Bitch Crochet The Happy Hooker,Debbie Stoller,ePUB,23.99,23.99,0761174982,2006-02-13,Workman Publishing Company,250
9781365501210,Book not found,,,,,,,,
9780748115396,Lord of Chaos Wheel of Time: Book 6,Robert Jordan,ePUB,12.99,12.99,0748115390,2010-03-16,"Little, Brown Book Group",1056
9780857208347,"A Wartime Christmas the Sunday Times bestselling family saga, perfect for Christmas 2019",Carol Rivers,ePUB,8.99,8.99,0857208349,2013-08-01,Simon & Schuster UK,464
9780755376605,Blood Ties A heartstopping psychological thriller with a twist you will never see coming,Samantha Hayes,ePUB,12.99,12.99,0755376609,2010-03-04,Headline,307
9780785170655,Infinity Gauntlet,"Jim Starlin, George Perez (Illustrator), Ron Lim (Illustrator)",ePUB,16.12,12.99,0785170650,2014-05-28,Marvel Entertainment,
9781405926959,No Way Back,M. J. Arlidge,ePUB,2.99,2.99,1405926953,2016-08-08,Penguin Books Ltd,40
9780241397817,Feel Better In 5 Your Daily Plan to Feel Great for Life,Dr Rangan Chatterjee,ePUB,19.99,19.99,0241397812,2019-12-26,Penguin Books Ltd,272
9781405919470,Book not found,,,,,,,,
9780316338363,Book not found,,,,,,,,
9780991190928,Escaping Destiny,Amelia Hutchins,ePUB,6.99,6.99,0991190920,2015-07-30,Amelia Hutchins,
9780141967561,The Mark of Athena (Heroes of Olympus Book 3),Rick Riordan,ePUB,12.99,12.99,0141967560,2012-10-02,Penguin Random House Children's UK,592
9780470893869,The Five Dysfunctions of a Team A Leadership Fable,Patrick M. Lencioni,ePUB,32.99,32.99,0470893869,2010-06-03,Wiley Professional Development (P&T),240
9780698407091,Christmas Bells A Novel,Jennifer Chiaverini,ePUB,18.85,15.99,0698407091,2015-10-27,Penguin Publishing Group,
9780857206473,The 7 Habits Of Highly Effective Teenagers,Sean Covey,ePUB,16.99,16.99,0857206478,2011-03-31,Simon & Schuster UK,288
9780141919959,Nineteen Eighty-Four,"George Orwell, Thomas Pynchon (Introduction by)",ePUB,10.99,10.99,0141919957,2004-01-29,Penguin Books Ltd,400
9781310839696,The King's Men,Nora Sakavic,ePUB,1.43,1.43,1310839697,2015-05-19,Nora Sakavic,
9780061949098,Book not found,,,,,,,,
9780307978882,I'm a T. Rex!,"Dennis R. Shealy, Brian Biggs (Illustrator)",ePUB,8.79,7.99,0307978885,2012-04-25,Random House Children's Books,
9780230770072,Book not found,,,,,,,,
9780486114750,Dracula,Bram Stoker,ePUB,1.45,1.45,0486114759,2012-02-06,Dover Publications,336
9781405935166,Lucy Sullivan is Getting Married British Book Awards Author of the Year 2022,Marian Keyes,ePUB,15.99,15.99,1405935162,2017-07-13,Penguin Books Ltd,672
9780141941448,The Beach,Alex Garland,ePUB,15.99,15.99,0141941448,2007-07-05,Penguin Books Ltd,448
9780575087309,The Green Mile The iconic horror masterpiece,Stephen King,ePUB,13.99,13.99,0575087307,2010-11-25,Orion,448
9780553904567,Persuasion,Jane Austen,ePUB,3.99,3.99,0553904566,2008-01-29,Random House Publishing Group,
9780857389572,The Crowded Grave Bruno deals with murder and mayhem in rural France,Martin Walker,ePUB,11.99,11.99,0857389572,2011-10-29,Quercus,320
9781405914895,Eeny Meeny DI Helen Grace 1,M. J. Arlidge,ePUB,15.99,15.99,1405914890,2014-05-08,Penguin Books Ltd,464
9780141922324,Tao Te Ching,"Lao Tzu, D. C. Lau (Translator)",ePUB,10.99,10.99,014192232X,2000-01-01,Penguin Books Ltd,192
9780393069211,Book not found,,,,,,,,
9780544859562,The Cake Bible,Rose Levy Beranbaum,ePUB,42.99,42.99,0544859561,2016-09-06,HarperCollins,560
9780307538376,Midnight in the Garden of Good and Evil,John Berendt,ePUB,25.7,20.99,0307538370,2010-05-12,Knopf Doubleday Publishing Group,
9780755399604,A Liverpool Legacy An unexpected tragedy forces a family to fight for survival,Anne Baker,Paperback,27.75,27.75,0755399609,2014-06-05,Headline,384
9781407059198,The Rainmaker A gripping crime thriller from the Sunday Times bestselling author of mystery and suspense,John Grisham,ePUB,15.99,15.99,140705919X,2010-04-21,Random House,720
9780571247035,The Murder Room The classic locked-room murder mystery from the 'Queen of English crime' (Guardian),P. D. James,ePUB,14.29,12.99,0571247032,2008-09-04,Faber & Faber,320
9781302013769,Thor God Of Thunder Vol. 1 - The God Butcher,"Jason Aaron, Esad Ribic (Illustrator)",ePUB,13.19,10.99,1302013769,2014-04-02,Marvel Entertainment,
9781409106968,Fatal Cut,June Hampson,ePUB,11.99,11.99,1409106969,2009-04-16,Orion,320
9780141938332,The Queen and I,Sue Townsend,ePUB,15.99,15.99,0141938331,2002-11-28,Penguin Books Ltd,288
9780230760387,Book not found,,,,,,,,
9780141357041,All the Bright Places,Jennifer Niven,ePUB,12.99,12.99,0141357045,2015-01-08,Penguin Random House Children's UK,300
9781101533475,The Prize,Julie Garwood,ePUB,17.14,13.99,1101533471,2011-07-05,Penguin Publishing Group,1
9780857384416,Born Fearless From Kids' Home to SAS to Pirate Hunter - My Life as a Shadow Warrior,Phil Campion,ePUB,12.99,12.99,0857384414,2011-09-25,Quercus,352
9780141908731,Alone in Berlin,"Hans Fallada, Michael Hofmann (Translator)",ePUB,15.99,15.99,0141908734,2010-01-28,Penguin Books Ltd,608
9780316310338,Book not found,,,,,,,,
9780241979075,Exit West A BBC 2 Between the Covers Book Club Pick - Booker Prize Gems,Mohsin Hamid,ePUB,15.99,15.99,0241979072,2017-03-02,Penguin Books Ltd,240
9780748123056,Let's Explore Diabetes With Owls,David Sedaris,ePUB,12.99,12.99,0748123059,2013-04-23,"Little, Brown Book Group",288
9781407035321,Night Watch Discworld Novel : Book 29,Terry Pratchett,ePUB,15.99,15.99,1407035320,2009-12-01,Transworld,480
9780748122660,Safe Haven ,Nicholas Sparks,ePUB,11.99,11.99,0748122664,2010-09-02,"Little, Brown Book Group",320
9780307778086,The Autobiography of Saint Therese The Story of a Soul,John Beevers (Translator),ePUB,22.01,17.99,0307778088,2011-01-26,Random House Publishing Group,
9780141396217,The Bhagavad Gita,Laurie L. Patton (Translator),ePUB,14.99,14.99,0141396210,2014-05-01,Penguin Books Ltd,288
9780698151529,My Mother's Secret A Novel Based on a True Holocaust Story,J.L. Witterick,ePUB,23.99,19.99,0698151526,2013-09-05,Penguin Publishing Group,208
9780141929682,The Language Instinct How the Mind Creates Language,Steven Pinker,ePUB,16.99,16.99,0141929685,2003-02-27,Penguin Books Ltd,496
9781101904190,Book not found,,,,,,,,
9781405525855,Ancillary Sword Imperial Radch: Book 2,Ann Leckie,ePUB,11.99,11.99,1405525851,2014-10-07,"Little, Brown Book Group",384
9780759509771,Harriet Tubman The Road to Freedom,Catherine Clinton,ePUB,21.99,21.99,0759509778,2004-02-02,"Little, Brown and Company",300
9780241258750,The Art of Statistics Learning from Data,David Spiegelhalter,ePUB,15.99,15.99,0241258758,2019-03-28,Penguin Books Ltd,256
9780759520844,Healing Back Pain The Mind-Body Connection,John E. Sarno,ePUB,12.99,12.99,0759520844,2001-03-15,Grand Central Publishing,300
9780755355976,A Walk In The Park,Jill Mansell,ePUB,12.99,12.99,0755355970,2012-02-16,Headline,362
9780768448887,Redeeming Your Bloodline Foundations For Breaking Generational Curses From the Courts of Heaven,Hrvoje Sirovina,Paperback,32.63,32.63,0768448883,2019-05-01,SOUND WISDOM,224
9781407039657,"The Lollipop Shoes (Chocolat 2) The delightful bestselling sequel to Chocolat, from the international multi-million copy selling author",Joanne Harris,ePUB,15.99,15.99,1407039652,2010-07-06,Transworld,592
9781405919227,Liar Liar DI Helen Grace 4,M. J. Arlidge,ePUB,15.99,15.99,1405919221,2015-09-10,Penguin Books Ltd,314
9780755118519,Book not found,,,,,,,,
9780141908328,A Clockwork Orange,"Anthony Burgess, Blake Morrison (Introduction by)",ePUB,15.99,15.99,0141908327,2011-08-04,Penguin Books Ltd,176
9780241979457,10 Minutes 38 Seconds in this Strange World SHORTLISTED FOR THE BOOKER PRIZE 2019,Elif Shafak,ePUB,15.99,15.99,0241979455,2019-06-06,Penguin Books Ltd,368
9781250198600,Midnight at the Blackbird Cafe A Novel,Heather Webber,ePUB,19.5,15.99,1250198607,2019-07-16,Tor Publishing Group,
9780753553176,The 2020 Commission Report on the North Korean Nuclear Attacks Against The United States,Dr Jeffrey Lewis,ePUB,15.99,15.99,0753553171,2018-08-07,Ebury Publishing,304
9780715335543,Book not found,,,,,,,,
9780141985947,"The Scottish Clearances A History of the Dispossessed, 1600-1900",T. M. Devine,ePUB,15.99,15.99,0141985941,2018-10-04,Penguin Books Ltd,400
9781401919276,Ask and It Is Given Learning to Manifest Your Desires,"Esther Hicks, Jerry Hicks, Dr. Wayne W. Dyer (Foreword by)",ePUB,18.34,14.99,1401919278,2004-10-01,Hay House,314
9780141991757,No One Is Too Small to Make a Difference,Greta Thunberg,ePUB,14.99,14.99,0141991755,2019-05-30,Penguin Books Ltd,80
9780141910338,Gypsy,Lesley Pearse,ePUB,15.99,15.99,014191033X,2008-07-14,Penguin Books Ltd,544
9780393712384,The Polyvagal Theory in Therapy Engaging the Rhythm of Regulation (Norton Series on Interpersonal Neurobiology),Deb Dana,ePUB,51.34,41.99,0393712389,2018-06-12,W. W. Norton & Company,
9780761148425,How to Make People Like You in 90 Seconds or Less,Nicholas Boothman,ePUB,19.99,19.99,0761148426,2008-07-02,Workman Publishing Company,203
9781310198373,Quran In English. Modern English Translation. Clear and Easy to Understand.,Talal Itani,ePUB,,,1310198373,2015-05-17,Talal Itani,
9780356511511,The Gutter Prayer Book One of the Black Iron Legacy,Gareth Hanrahan,ePUB,12.99,12.99,0356511510,2019-01-15,"Little, Brown Book Group",544
9780761165590,Book not found,,,,,,,,
9780307426758,Astrology for the Soul,Jan Spiller,ePUB,25.7,20.99,0307426750,2009-11-04,Random House Publishing Group,
9780141904160,The Closed Circle 'As funny as anything Coe has written' The Times Literary Supplement,Jonathan Coe,ePUB,15.99,15.99,014190416X,2008-05-19,Penguin Books Ltd,448
9781407135281,Book not found,,,,,,,,
9780141964591,Where Good Ideas Come From The Natural History of Innovation,Steven Johnson,ePUB,15.99,15.99,0141964596,2010-10-07,Penguin Books Ltd,336
9780997720105,Claiming the Dragon King,Amelia Hutchins,ePUB,6.99,6.99,0997720107,2018-07-10,Amelia Hutchins,
9780241192061,Book not found,,,,,,,,
9780670923090,"The Boy with the Topknot A Memoir of Love, Secrets and Lies",Sathnam Sanghera,ePUB,15.99,15.99,0670923095,2012-11-29,Penguin Books Ltd,336
9780857081025,The Art of War The Ancient Classic,"Sun Tzu, Tom Butler-Bowdon (Introduction by)",ePUB,16.99,16.99,0857081020,2016-05-16,Wiley,220
9780753549063,"Lean In Women, Work, and the Will to Lead",Sheryl Sandberg,ePUB,18.99,18.99,0753549069,2013-03-12,Ebury Publishing,240
9780141965550,The Lost Hero (Heroes of Olympus Book 1),Rick Riordan,ePUB,9.99,9.99,014196555X,2010-10-12,Penguin Random House Children's UK,576
9780141909653,The Other Side of the Story,Marian Keyes,ePUB,15.99,15.99,014190965X,2005-03-10,Penguin Books Ltd,656
9780755351473,Another Woman A dazzlingly addictive story of family secrets... with a breathtaking twist,Penny Vincenzi,ePUB,12.99,12.99,0755351479,2008-09-04,Headline,640
9780141959856,Titmuss Regained,John Mortimer,ePUB,15.99,15.99,0141959851,2010-11-04,Penguin Books Ltd,272
9781306291859,Book not found,,,,,,,,
9780141905570,Thin,Grace Bowman,ePUB,18.99,18.99,0141905573,2007-01-25,Penguin Books Ltd,304
9780755384761,Shadow of Night All Souls : Book 2,Deborah Harkness,ePUB,13.99,13.99,0755384768,2012-07-10,Headline,605
9780748117468,Lover Mine Number 8 in series,J. R. Ward,ePUB,11.99,11.99,0748117466,2010-05-06,"Little, Brown Book Group",544
9780804179041,Book not found,,,,,,,,
9781407011349,Going Dutch,Katie Fforde,ePUB,15.99,15.99,1407011340,2010-12-07,Random House,432
9780307414250,Book not found,,,,,,,,
9780730363996,Book not found,,,,,,,,
9780755387052,1st to Die,James Patterson,ePUB,12.99,12.99,0755387058,2011-06-23,Headline,375
9781407068060,Night Frost (DI Jack Frost Book 3),R D Wingfield,ePUB,15.99,15.99,1407068067,2010-04-27,Transworld,432
9780241986233,Notes to Self,Emilie Pine,ePUB,15.99,15.99,0241986230,2019-01-31,Penguin Books Ltd,192
9780547607955,The French Slow Cooker,"Michele Scicolone, Alan Richardson",ePUB,39.59,31.99,0547607954,2024-04-16,HarperCollins,240
9780241361863,Dear Evan Hansen,"Val Emmich, Justin Paul, Steven Levenson, Benj Pasek",ePUB,12.99,12.99,0241361869,2018-10-09,Penguin Random House Children's UK,368
9780141900940,Hope,Lesley Pearse,ePUB,15.99,15.99,0141900946,2007-01-11,Penguin Books Ltd,688
9780330469289,Book not found,,,,,,,,
9780241352533,A Short History of Europe From Pericles to Putin,Simon Jenkins,ePUB,15.99,15.99,0241352533,2018-11-08,Penguin Books Ltd,400
9780141941295,"Arnhem The Battle for the Bridges, 1944: The Sunday Times No 1 Bestseller",Antony Beevor,ePUB,14.99,14.99,0141941294,2018-05-17,Penguin Books Ltd,496
9781108337519,There Is No Planet B A Handbook for the Make or Break Years,Mike Berners-Lee,PDF,18.95,18.95,1108337511,2019-02-28,Cambridge University Press,
9780241974933,Paradise Lodge Hilarity and pure escapism from a true British wit,Nina Stibbe,ePUB,15.99,15.99,0241974933,2016-06-02,Penguin Books Ltd,320
9780717155651,Strumpet City Bestselling Irish novel with an introduction by Fintan O'Toole,James Plunkett,ePUB,8.99,8.99,071715565X,2013-02-22,Gill Books,560
9781281371973,Book not found,,,,,,,,
9780297857440,Book not found,,,,,,,,
9780316448284,"I've Been Killing Slimes for 300 Years and Maxed Out My Level, Vol. 1","Kisetsu Morita, Benio",ePUB,17.6,16.99,0316448281,2018-04-24,Yen Press,
9780241963913,"Mr Loverman From the Booker prize-winning author of Girl, Woman, Other",Bernardine Evaristo,ePUB,15.99,15.99,0241963915,2013-08-29,Penguin Books Ltd,288
9780307422316,Book not found,,,,,,,,
9780307514929,The Bridge at Remagen A Story of World War II,Ken Hechler,ePUB,10.27,9.99,0307514927,2009-03-25,Random House Publishing Group,
9780241322499,A Perfect Spy,John le Carré,ePUB,15.99,15.99,0241322499,2018-09-27,Penguin Books Ltd,688
9781405525961,Blood Song Book 1 of Raven's Shadow,Anthony Ryan,ePUB,12.99,12.99,1405525967,2013-04-11,"Little, Brown Book Group",592
9780755350858,The Eagle and the Wolves (Eagles of the Empire 4) Cato & Macro: Book 4,Simon Scarrow,ePUB,12.99,12.99,0755350855,2008-09-04,Headline,448
9780748110001,Excession Culture: Book 5,Iain M. Banks,ePUB,12.99,12.99,0748110003,2008-09-04,"Little, Brown Book Group",464
9780718197292,Brothers York An English Tragedy,Thomas Penn,ePUB,19.99,19.99,0718197291,2019-10-03,Penguin Books Ltd,640
9780141962900,The Secret Diary of Adrian Mole Aged 13 ¾,Sue Townsend,ePUB,9.99,9.99,0141962909,2009-11-05,Penguin Random House Children's UK,272
9781101155646,The Girl On Legare Street,Karen White,ePUB,10.27,9.99,1101155647,2009-11-03,Penguin Publishing Group,
9780857191410,How I Made $2 Million in the Stock Market The Darvas system for stock market profits,Nicolas Darvas,ePUB,21.99,20.99,0857191411,2020-03-27,Harriman House,198
9780748133833,The Summer Queen A loving mother. A betrayed wife. A queen beyond compare.,Elizabeth Chadwick,ePUB,12.99,12.99,0748133836,2013-06-20,"Little, Brown Book Group",496
9780307351487,Book not found,,,,,,,,
9781370046782,Hellion,Karen Lynch,ePUB,6.87,6.87,1370046782,2019-01-08,Karen Lynch,
9780755384839,You Can't Hide (The Chicago Series Book 4),Karen Rose,Paperback,22.75,22.75,0755384830,2015-07-02,Headline Publishing Group,448
9780307388629,Book not found,,,,,,,,
9780307483690,Book not found,,,,,,,,
9780330527989,Book not found,,,,,,,,
9780307887290,Our Man in Charleston Britain's Secret Agent in the Civil War South,Christopher Dickey,ePUB,25.7,20.99,0307887294,2015-07-21,Crown,
9780748109500,Postmortem,Patricia Cornwell,ePUB,12.99,12.99,0748109501,2008-09-04,"Little, Brown Book Group",416
9780989768412,Hardwired,Meredith Wild,Paperback,22.17,21.75,0989768414,2015-01-24,WATERHOUSE PR                 ,288
9780241376935,One Of Us Is Next TikTok made me buy it,Karen M. McManus,ePUB,9.99,9.99,0241376939,2020-01-09,Penguin Random House Children's UK,308
9780748113347,The Blind Assassin,Margaret Atwood,ePUB,11.99,11.99,0748113347,2009-09-03,"Little, Brown Book Group",656
